# model CTW_reference
# channel charged_current_neutrino_nucleon
# neutrino_status neutrino_not_antineutrino
# target isoscalar_nucleon
# source Connolly_Thorne_Waters_PhysRevD83_113009_Table_I
# arxiv https://arxiv.org/abs/1102.0691
# pdf_set MSTW_2008
# energy_range_GeV 1e4 1e12
# values table_published_central_values
# notes Table I nuN CC central cross sections; not NC and not antineutrino.
# Enu_GeV sigma_GeV_minus2 sigma_cm2
1.0000000000e+04 1.2327310495e-07 4.8000000000e-35
2.5000000000e+04 2.3884164085e-07 9.3000000000e-35
6.0000000000e+04 4.1091034985e-07 1.6000000000e-34
1.0000000000e+05 5.6500173104e-07 2.2000000000e-34
2.5000000000e+05 9.2454828715e-07 3.6000000000e-34
6.0000000000e+05 1.4381862245e-06 5.6000000000e-34
1.0000000000e+06 1.8490965743e-06 7.2000000000e-34
2.5000000000e+06 2.8250086552e-06 1.1000000000e-33
6.0000000000e+06 4.1091034985e-06 1.6000000000e-33
1.0000000000e+07 5.1363793731e-06 2.0000000000e-33
2.5000000000e+07 7.4477500909e-06 2.9000000000e-33
6.0000000000e+07 1.0272758746e-05 4.0000000000e-33
1.0000000000e+08 1.2327310495e-05 4.8000000000e-33
2.5000000000e+08 1.7206870900e-05 6.7000000000e-33
6.0000000000e+08 2.3370526147e-05 9.1000000000e-33
1.0000000000e+09 2.8250086552e-05 1.1000000000e-32
2.5000000000e+09 3.5954655611e-05 1.4000000000e-32
6.0000000000e+09 4.8795604044e-05 1.9000000000e-32
1.0000000000e+10 5.6500173104e-05 2.2000000000e-32
2.5000000000e+10 7.4477500909e-05 2.9000000000e-32
6.0000000000e+10 9.5023018402e-05 3.7000000000e-32
1.0000000000e+11 1.1043215652e-04 4.3000000000e-32
2.5000000000e+11 1.4381862245e-04 5.6000000000e-32
6.0000000000e+11 1.8490965743e-04 7.2000000000e-32
1.0000000000e+12 2.1315974398e-04 8.3000000000e-32
