# model literature_powerlaw_scale
# channel charged_current_neutrino_nucleon
# reference Gandhi_Quigg_Reno_Sarcevic_style_powerlaw
# formula sigma_cm2 = A * (E_GeV)^B
# A_cm2 5.53000000e-36
# B 3.63000000e-01
# notes Approximate literature-scale curve retained only as a scale check; not a PDF reference table.
# Enu_GeV sigma_GeV_minus2 sigma_cm2
1.0000000000e+03 1.7432201162e-07 6.7877389483e-35
1.0884000000e+03 1.7976554941e-07 6.9996990624e-35
1.1846200000e+03 1.8537938109e-07 7.2182900686e-35
1.2893400000e+03 1.9116818440e-07 7.4436941088e-35
1.4033200000e+03 1.9713789564e-07 7.6761423301e-35
1.5273800000e+03 2.0329421762e-07 7.9158567877e-35
1.6624000000e+03 2.0964244994e-07 8.1630438375e-35
1.8093600000e+03 2.1618910244e-07 8.4179569590e-35
1.9693100000e+03 2.2294012597e-07 8.6808278663e-35
2.1434000000e+03 2.2990197390e-07 8.9519078401e-35
2.3328800000e+03 2.3708122908e-07 9.2314532030e-35
2.5391100000e+03 2.4448466243e-07 9.5197276007e-35
2.7635800000e+03 2.5211958279e-07 9.8170156244e-35
3.0078800000e+03 2.5999248353e-07 1.0123570112e-34
3.2737900000e+03 2.6811164405e-07 1.0439713447e-34
3.5631900000e+03 2.7648385675e-07 1.0765710111e-34
3.8781900000e+03 2.8511796702e-07 1.1101904525e-34
4.2210300000e+03 2.9402152254e-07 1.1448590580e-34
4.5941700000e+03 3.0320292891e-07 1.1806095574e-34
5.0003100000e+03 3.1267136844e-07 1.2174777046e-34
5.4423400000e+03 3.2243518500e-07 1.2554959888e-34
5.9234600000e+03 3.3250418887e-07 1.2947026095e-34
6.4471000000e+03 3.4288738576e-07 1.3351326328e-34
7.0170400000e+03 3.5359499859e-07 1.3768258647e-34
7.6373600000e+03 3.6463691465e-07 1.4198208044e-34
8.3125100000e+03 3.7602351993e-07 1.4641578926e-34
9.0473600000e+03 3.8776594779e-07 1.5098804805e-34
9.8471600000e+03 3.9987487737e-07 1.5570301503e-34
1.0717700000e+04 4.1236244729e-07 1.6056541674e-34
1.1665100000e+04 4.2523866114e-07 1.6557914836e-34
1.2696400000e+04 4.3851886905e-07 1.7075018693e-34
1.3818700000e+04 4.5221172471e-07 1.7608190200e-34
1.5040300000e+04 4.6633320258e-07 1.8158051371e-34
1.6369900000e+04 4.8089574727e-07 1.8725086772e-34
1.7817100000e+04 4.9591365440e-07 1.9309853045e-34
1.9392100000e+04 5.1139920263e-07 1.9912828297e-34
2.1106400000e+04 5.2736896750e-07 2.0534657945e-34
2.2972300000e+04 5.4383788070e-07 2.1175923397e-34
2.5003100000e+04 5.6082065369e-07 2.1837197487e-34
2.7213400000e+04 5.7833355010e-07 2.2519113488e-34
2.9619100000e+04 5.9639337893e-07 2.3222325908e-34
3.2237500000e+04 6.1501739695e-07 2.3947506688e-34
3.5087300000e+04 6.3422252274e-07 2.4695314605e-34
3.8189100000e+04 6.5402784646e-07 2.5466492989e-34
4.1565100000e+04 6.7445160742e-07 2.6261752041e-34
4.5239600000e+04 6.9551345726e-07 2.7081856956e-34
4.9238800000e+04 7.1723229585e-07 2.7927543655e-34
5.3591600000e+04 7.3962969558e-07 2.8799652123e-34
5.8329200000e+04 7.6272653243e-07 2.9698995227e-34
